,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,CODE,TYPE
0,Denmark,Western Europe,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,DNK,developed
1,Switzerland,Western Europe,2,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,CHE,developed
2,Iceland,Western Europe,3,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,ISL,developed
3,Norway,Western Europe,4,7.497999999999999,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,NOR,developed
4,Finland,Western Europe,5,7.412999999999999,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,FIN,developed
5,Canada,North America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,CAN,developed
6,Netherlands,Western Europe,7,7.3389999999999995,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,NLD,developed
7,New Zealand,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,NZL,developed
8,Australia,Australia and New Zealand,9,7.313,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,AUS,developed
9,Sweden,Western Europe,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,SWE,developed
10,Israel,Middle East and Northern Africa,11,7.267,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,ISR,developed
11,Austria,Western Europe,12,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,AUT,developed
12,United States,North America,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782,USA,developed
13,Costa Rica,Latin America and Caribbean,14,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,CRI,developed
14,Puerto Rico,Latin America and Caribbean,15,7.039,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202,3.0076,PRO,developed
15,Germany,Western Europe,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,DEU,developed
16,Brazil,Latin America and Caribbean,17,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,BRA,developing
17,Belgium,Western Europe,18,6.928999999999999,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,BEL,developed
18,Ireland,Western Europe,19,6.907,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2.15988,IRL,developed
19,Luxembourg,Western Europe,20,6.871,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,LUX,developed
20,Mexico,Latin America and Caribbean,21,6.778,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,3.5590599999999997,MEX,developing
21,Singapore,Southeastern Asia,22,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,1.99375,SGP,developed
22,United Kingdom,Western Europe,23,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,GBR,developed
23,Chile,Latin America and Caribbean,24,6.705,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2.95505,CHL,developing
24,Panama,Latin America and Caribbean,25,6.7010000000000005,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,3.00559,PAN,developed
25,Argentina,Latin America and Caribbean,26,6.65,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002,3.12985,ARG,developing
26,Czech Republic,Central and Eastern Europe,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,CZE,developed
27,United Arab Emirates,Middle East and Northern Africa,28,6.5729999999999995,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591,2.21507,ARE,developed
28,Uruguay,Latin America and Caribbean,29,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056,2.67139,URY,developed
29,Malta,Western Europe,30,6.4879999999999995,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,MLT,developed
30,Colombia,Latin America and Caribbean,31,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998,3.1747099999999997,COL,developing
31,France,Western Europe,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,FRA,developed
32,Thailand,Southeastern Asia,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,THA,developing
33,Saudi Arabia,Middle East and Northern Africa,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,SAU,developing
34,Taiwan,Eastern Asia,34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,TWN,developed
35,Qatar,Middle East and Northern Africa,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.5822399999999999,QAT,developing
36,Spain,Western Europe,37,6.361000000000001,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2.39663,ESP,developed
37,Algeria,Middle East and Northern Africa,38,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,3.40904,DZA,developing
38,Guatemala,Latin America and Caribbean,39,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,3.19863,GTM,developing
39,Suriname,Latin America and Caribbean,40,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665,3.06852,SUR,developing
40,Kuwait,Middle East and Northern Africa,41,6.239,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965,2.28085,KWT,developing
41,Bahrain,Middle East and Northern Africa,42,6.218,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147,2.27405,BHR,developed
42,Trinidad and Tobago,Latin America and Caribbean,43,6.167999999999999,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.5139400000000003,TTO,developing
43,Venezuela,Latin America and Caribbean,44,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,2.9746799999999998,VEN,developing
44,Slovakia,Central and Eastern Europe,45,6.077999999999999,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837,2.61065,SVK,developed
45,El Salvador,Latin America and Caribbean,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,SLV,developing
46,Malaysia,Southeastern Asia,47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41473999999999994,2.35384,MYS,developing
47,Nicaragua,Latin America and Caribbean,48,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773,2.82428,NIC,developing
48,Uzbekistan,Central and Eastern Europe,49,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,UZB,developing
49,Italy,Western Europe,50,5.977,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918,ITA,developed
50,Ecuador,Latin America and Caribbean,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,ECU,developing
51,Belize,Latin America and Caribbean,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10770999999999999,0.23684000000000002,3.08039,BLZ,developing
52,Japan,Eastern Asia,53,5.921,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224,1.8058400000000001,JPN,developed
53,Kazakhstan,Central and Eastern Europe,54,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,KAZ,developing
54,Moldova,Central and Eastern Europe,55,5.897,0.69177,0.8313200000000001,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,3.38007,MDA,developing
55,Russia,Central and Eastern Europe,56,5.856,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.027360000000000002,2.59115,RUS,developing
56,Poland,Central and Eastern Europe,57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,POL,developed
57,South Korea,Eastern Asia,57,5.835,1.35948,0.7219399999999999,0.88645,0.25168,0.07716,0.18824000000000002,2.35015,KOR,developed
58,Bolivia,Latin America and Caribbean,59,5.822,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698,2.91635,BOL,developing
59,Lithuania,Central and Eastern Europe,60,5.813,1.2692,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,2.60525,LTU,developed
60,Belarus,Central and Eastern Europe,61,5.8020000000000005,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2.3858200000000003,BLR,developed
61,North Cyprus,Western Europe,62,5.771,1.31141,0.81826,0.8414200000000001,0.43596,0.16577999999999998,0.26322,1.9344700000000001,CYP,developing
62,Slovenia,Central and Eastern Europe,63,5.768,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,SVN,developed
63,Peru,Latin America and Caribbean,64,5.742999999999999,0.9960200000000001,0.81255,0.6299399999999999,0.37501999999999996,0.05292,0.14527,2.73117,PER,developing
64,Turkmenistan,Central and Eastern Europe,65,5.6579999999999995,1.08017,1.03817,0.44006000000000006,0.37408,0.28467,0.22566999999999998,2.21489,TKM,developing
65,Mauritius,Sub-Saharan Africa,66,5.648,1.14372,0.75695,0.66189,0.46145,0.05202999999999999,0.36951,2.20223,MUS,developing
66,Libya,Middle East and Northern Africa,67,5.615,1.0668799999999998,0.95076,0.52304,0.40671999999999997,0.10339000000000001,0.17087,2.39374,LBY,developing
67,Latvia,Central and Eastern Europe,68,5.56,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,LVA,developed
68,Cyprus,Western Europe,69,5.546,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2.04497,CYP,developed
69,Paraguay,Latin America and Caribbean,70,5.537999999999999,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,PRY,developing
70,Romania,Central and Eastern Europe,71,5.528,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2.4518400000000002,ROU,developed
71,Estonia,Central and Eastern Europe,72,5.517,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423,1.81985,EST,developed
72,Jamaica,Latin America and Caribbean,73,5.51,0.89333,0.96372,0.5946899999999999,0.43596999999999997,0.04294,0.22245,2.35682,JAM,developing
73,Croatia,Central and Eastern Europe,74,5.4879999999999995,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434,2.52462,HRV,developed
74,Hong Kong S.A.R. of China,East Asia,75,5.457999999999999,1.5107,0.87021,0.9527700000000001,0.48078999999999994,0.31647,0.40097,0.92614,HKG,developed
75,Somalia,Sub-Saharan Africa,76,5.44,0.0,0.33613000000000004,0.11465999999999998,0.5677800000000001,0.3118,0.27225,3.8377199999999996,SOM,least
76,Kosovo,Central and Eastern Europe,77,5.401,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,KSV,developing
77,Turkey,Middle East and Northern Africa,78,5.388999999999999,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2.29074,TUR,developing
78,Indonesia,Southeastern Asia,79,5.314,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521,2.03171,IDN,developing
79,Jordan,Middle East and Northern Africa,80,5.303,0.9967299999999999,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,JOR,developing
80,Azerbaijan,Central and Eastern Europe,81,5.291,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2.2735,AZE,developing
81,Philippines,Southeastern Asia,82,5.279,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,2.23484,PHL,developing
82,China,Eastern Asia,83,5.245,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995,2.17087,CHN,developing
83,Bhutan,Southern Asia,84,5.196000000000001,0.8527,0.9083600000000001,0.49759,0.46074,0.1616,0.48546000000000006,1.82916,BTN,least
