,Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Social support,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual,CODE,TYPE
145,146,Botswana,3.59,1.0170000000000001,1.1740000000000002,0.41700000000000004,0.557,0.042,0.092,0.38299999999999995,BWA,developing
146,147,Malawi,3.5869999999999997,0.18600000000000003,0.541,0.306,0.531,0.21,0.08,1.8130000000000002,MWI,least
147,148,Haiti,3.582,0.315,0.7140000000000001,0.289,0.025,0.392,0.10400000000000001,1.847,HTI,least
148,149,Liberia,3.495,0.076,0.858,0.267,0.419,0.20600000000000002,0.03,1.669,LBR,least
149,150,Syria,3.4619999999999997,0.6890000000000001,0.382,0.539,0.08800000000000001,0.376,0.14400000000000002,1.3880000000000001,SYR,developing
150,151,Rwanda,3.408,0.332,0.8959999999999999,0.4,0.636,0.2,0.444,0.9440000000000001,RWA,least
151,152,Yemen,3.355,0.442,1.073,0.34299999999999997,0.244,0.083,0.064,1.17,YEM,least
152,153,Tanzania,3.303,0.455,0.991,0.381,0.48100000000000004,0.27,0.09699999999999999,0.725,TZA,least
153,154,South Sudan,3.2539999999999996,0.337,0.608,0.177,0.11199999999999999,0.22399999999999998,0.106,1.796,SSD,least
154,155,Central African Republic,3.083,0.024,0.0,0.01,0.305,0.218,0.038,2.526,CAF,least
155,156,Burundi,2.905,0.091,0.627,0.145,0.065,0.149,0.076,1.828,BDI,least
